IN,India,IN21,Odisha,16457,Bind,1,bho,Bhojpuri,5,Hinduism,p16457.jpg,Y,2130,2130,,,,,
IN,India,IN21,Odisha,16471,Binjhal,1,ory,Odia,5,Hinduism,p16471.jpg,Y,162560,162160,100,,100,10,150
IN,India,IN21,Odisha,16489,Binjhia,1,hin,Hindi,5,Hinduism,p16489.jpg,N,13560,12560,20,,270,,650
IN,India,IN21,Odisha,16461,Birhor,2,biy,Birhor,5,Hinduism,,N,1010,540,,,350,,110
IN,India,IN21,Odisha,16463,Birjia,2,unx,Munda,5,Hinduism,p16463.jpg,N,6930,6930,,,,,
IN,India,IN21,Odisha,16464,"Bishnoi (Hindu traditions)",1,hin,Hindi,5,Hinduism,p16464.jpg,Y,118400,118400,,,,,
IN,India,IN21,Odisha,16494,Bohra,1,guj,Gujarati,6,Islam,p16494.jpg,Y,260,,260,,,,
IN,India,IN21,Odisha,16496,Boipari,1,ory,Odia,5,Hinduism,,Y,16500,16500,,,,,
IN,India,IN21,Odisha,16502,Bolasi,1,ory,Odia,5,Hinduism,,Y,27150,27150,,,,,
IN,India,IN21,Odisha,16501,Bolodia,1,ory,Odia,5,Hinduism,,Y,2350,2350,,,,,
IN,India,IN21,Odisha,16505,Bondili,1,tel,Telugu,5,Hinduism,p16505.jpg,Y,1400,1400,,,,,
IN,India,IN21,Odisha,16520,"Bondo Poraja",1,bfw,Bondo,5,Hinduism,p16520.jpg,N,14600,14500,10,,170,,10
IN,India,IN21,Odisha,16511,Bosantiya,1,ory,Odia,5,Hinduism,p16511.jpg,Y,6260,6260,,,,,
IN,India,IN21,Odisha,16518,Boya,1,tel,Telugu,5,Hinduism,p16518.jpg,Y,3400,3400,,,,,
IN,India,IN21,Odisha,18058,"Brahmin (Sikh traditions)",1,pan,"Punjabi, Eastern",8,"Other / Small",p18058.jpg,Y,70,,,,,70,
IN,India,IN21,Odisha,20345,"Brahmin Acharaj",1,hin,Hindi,5,Hinduism,p20345.jpg,Y,300,300,,,,,
IN,India,IN21,Odisha,19929,"Brahmin Audich",1,guj,Gujarati,5,Hinduism,p19929.jpg,Y,390,390,,,,,
IN,India,IN21,Odisha,19931,"Brahmin Bengali",1,ben,Bengali,5,Hinduism,,Y,19730,19730,,,,,
