ROG3,Country,ROG4,Adm1Name,PeopleID3,PeopName,JPScale,ROL3,Language,RLG3,PrimaryReligion,PhotoAddress,Frontier,Population,Hindu,Muslim,Buddhist,Christian,Sikh,Other
IN,India,IN39,Uttarakhand,14322,Parsee,1,guj,Gujarati,8,"Other / Small",p14322.jpg,Y,20,,,,,,20
IN,India,IN39,Uttarakhand,22110,"Pashtun Afridi",1,urd,Urdu,6,Islam,p22110.jpg,Y,2590,,2590,,,,
IN,India,IN39,Uttarakhand,22112,"Pashtun Ahmadzai (Wazir)",1,urd,Urdu,6,Islam,,Y,240,,240,,,,
IN,India,IN39,Uttarakhand,22127,"Pashtun Babai (Babi)",1,guj,Gujarati,6,Islam,,Y,50,,50,,,,
IN,India,IN39,Uttarakhand,22132,"Pashtun Bakarzai",1,urd,Urdu,6,Islam,,Y,20,,20,,,,
IN,India,IN39,Uttarakhand,22136,"Pashtun Bangash",1,urd,Urdu,6,Islam,p22136.jpg,Y,510,,510,,,,
IN,India,IN39,Uttarakhand,22141,"Pashtun Barech",1,urd,Urdu,6,Islam,,Y,70,,70,,,,
IN,India,IN39,Uttarakhand,21599,"Pashtun Dilazak",1,urd,Urdu,6,Islam,,Y,240,,240,,,,
IN,India,IN39,Uttarakhand,22162,"Pashtun Ghauri",1,urd,Urdu,6,Islam,,Y,1750,,1750,,,,
IN,India,IN39,Uttarakhand,22163,"Pashtun Ghilzai",1,urd,Urdu,6,Islam,p22163.jpg,Y,460,,460,,,,
IN,India,IN39,Uttarakhand,22188,"Pashtun Kakar",1,urd,Urdu,6,Islam,p22188.jpg,Y,10090,,10090,,,,
IN,India,IN39,Uttarakhand,22193,"Pashtun Khalil",1,urd,Urdu,6,Islam,,Y,570,,570,,,,
IN,India,IN39,Uttarakhand,22194,"Pashtun Khan",1,urd,Urdu,6,Islam,,Y,270,,270,,,,
IN,India,IN39,Uttarakhand,22197,"Pashtun Khattak",1,urd,Urdu,6,Islam,p22197.jpg,Y,170,,170,,,,
IN,India,IN39,Uttarakhand,22212,"Pashtun Lodhi (Dalazak)",1,urd,Urdu,6,Islam,p22212.jpg,Y,4580,,4580,,,,
IN,India,IN39,Uttarakhand,22233,"Pashtun Mohammadzai",1,urd,Urdu,6,Islam,,Y,1110,,1110,,,,
IN,India,IN39,Uttarakhand,22234,"Pashtun Mohmand",1,urd,Urdu,6,Islam,p22234.jpg,Y,690,,690,,,,
IN,India,IN39,Uttarakhand,22256,"Pashtun Rohilla",1,urd,Urdu,6,Islam,,Y,2140,,2140,,,,
IN,India,IN39,Uttarakhand,22277,"Pashtun Tarin",1,urd,Urdu,6,Islam,,Y,470,,470,,,,
IN,India,IN39,Uttarakhand,22290,"Pashtun Wakakzai",1,urd,Urdu,6,Islam,,Y,270,,270,,,,
IN,India,IN39,Uttarakhand,22294,"Pashtun Yusafzai",1,urd,Urdu,6,Islam,p22294.jpg,Y,10900,,10900,,,,
IN,India,IN39,Uttarakhand,21537,"Pashtun, Pathan",1,urd,Urdu,6,Islam,p21537.jpg,Y,60180,,60180,,,,
IN,India,IN39,Uttarakhand,17852,"Pasi (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17852.jpg,Y,19470,19350,,60,,40,
IN,India,IN39,Uttarakhand,21771,"Pasi Gujar",1,hin,Hindi,5,Hinduism,,Y,1330,1330,,,,,
IN,India,IN39,Uttarakhand,21772,"Pasi Kaithwan",1,hin,Hindi,5,Hinduism,p21772.jpg,Y,1270,1270,,,,,
IN,India,IN39,Uttarakhand,21773,"Pasi Rajpasi",1,hin,Hindi,5,Hinduism,p21773.jpg,N,1150,1150,,,,,
IN,India,IN39,Uttarakhand,17857,Patari,1,hin,Hindi,5,Hinduism,p17857.jpg,Y,350,350,,,,,
IN,India,IN39,Uttarakhand,17860,"Patwa (Hindu traditions)",1,hin,Hindi,5,Hinduism,p17860.jpg,Y,1620,1620,,,,,
